"","Overall","A","F","D","p","test"
"n","  352","  148","   94","  110","",""
"age (mean (SD))","65.28 (9.94)","65.03 (10.43)","64.45 (9.28)","66.33 (9.80)"," 0.373",""
"sex = m (%)","  196 (55.7) ","   82 (55.4) ","   56 (59.6) ","   58 (52.7) "," 0.615",""
"ecogps (mean (SD))"," 0.94 (0.62)"," 0.80 (0.58)"," 0.96 (0.60)"," 1.13 (0.64)","<0.001",""
"fact_bl (mean (SD))","73.79 (16.39)","76.72 (15.71)","74.16 (15.85)","69.52 (16.97)"," 0.002",""
"hads_pt_anx_bl (mean (SD))"," 7.22 (3.54)"," 7.27 (3.29)"," 7.27 (3.84)"," 7.11 (3.64)"," 0.927",""
"hads_pt_dep_bl (mean (SD))"," 5.62 (4.23)"," 4.95 (3.72)"," 5.46 (4.30)"," 6.68 (4.61)"," 0.004",""
"tumrtyp (%)","  ","  ","   ","   "," 0.532",""
"   Esophageal/GEJ/Gastric","   28 ( 8.0) ","    8 ( 5.4) ","   10 (10.6) ","   10 ( 9.1) ","",""
"   Hepatic/Biliary/Pancreatic/Unknown primary","  111 (31.5) ","   48 (32.4) ","   26 (27.7) ","   37 (33.6) ","",""
"   Lung","  213 (60.5) ","   92 (62.2) ","   58 (61.7) ","   63 (57.3) ","",""
"arm = 2 (%)","  183 (52.0) ","   80 (54.1) ","   43 (45.7) ","   60 (54.5) "," 0.366",""
"edu_cat (%)","  ","  ","   ","   "," 0.855",""
"   College+","  177 (52.2) ","   75 (52.4) ","   49 (53.8) ","   53 (50.5) ","",""
"   High school","  128 (37.8) ","   54 (37.8) ","   31 (34.1) ","   43 (41.0) ","",""
"   Low","   34 (10.0) ","   14 ( 9.8) ","   11 (12.1) ","    9 ( 8.6) ","",""
"race_cat (%)","  ","  ","   ","   "," 0.683",""
"   Asian","   14 ( 4.2) ","    7 ( 4.9) ","    4 ( 4.7) ","    3 ( 2.8) ","",""
"   Black","   42 (12.5) ","   17 (11.8) ","   15 (17.4) ","   10 ( 9.4) ","",""
"   Minority","    6 ( 1.8) ","    3 ( 2.1) ","    1 ( 1.2) ","    2 ( 1.9) ","",""
"   White","  274 (81.5) ","  117 (81.2) ","   66 (76.7) ","   91 (85.8) ","",""
"marital_cat = Not married (%)","  130 (37.7) ","   52 (35.6) ","   33 (35.5) ","   45 (42.5) "," 0.476",""
"n12 (mean (SD))"," 1.81 (2.38)"," 1.69 (1.95)"," 1.37 (1.95)"," 2.35 (3.07)"," 0.010",""
"cgpart = Yes (%)","  248 (70.5) ","  108 (73.0) ","   65 (69.1) ","   75 (68.2) "," 0.670",""
