Threshold,Model,Delta,AUC_median,AUC_IQR,Brier_median,Brier_IQR,Slope_median,Slope_IQR
-10,glmnet,10,0.6304347826086957,0.11782560573088208,0.203693478939886,0.037615052078952244,0.9843591238515694,1.1445125119195023
-10,rf,10,0.5818181818181818,0.11754115143545563,0.21465348091891462,0.03561748996840722,0.45059695636982305,0.6482234393849464
-10,xgb,10,0.6245847176079734,0.11315951691277037,0.2112764015837882,0.03648241410177161,0.49716433011167155,0.5286215527973632
-7,glmnet,10,0.6030769230769231,0.11508198958595783,0.22398099487393802,0.0342626416548818,0.8078542516631476,1.130151773713929
-7,rf,10,0.5669856459330144,0.08372212617251062,0.22957035332864756,0.037061253911403746,0.41874723651377777,0.5273920611758779
-7,xgb,10,0.5897727272727272,0.08351403115910161,0.2307199947266861,0.03470993888482188,0.3797663882312341,0.4718538038083139
-5,glmnet,10,0.6317948717948718,0.11220204179851812,0.23034221817886283,0.029992122870404092,0.7776066828338062,0.786381879454011
-5,rf,10,0.5895895895895896,0.09028736685458383,0.2387813187693583,0.028591089744565534,0.5357752209274758,0.5581035254162443
-5,xgb,10,0.5980392156862745,0.09395983230967464,0.23969952945605136,0.03492931538166816,0.44188838919897716,0.45994731338700034
0,glmnet,10,0.638974358974359,0.09681031298678366,0.2283945410162975,0.02322752819311602,0.8009060280051621,0.6555867678970526
0,rf,10,0.6046511627906976,0.08353240756491531,0.2345007281000689,0.022501858725142876,0.5981677797465232,0.49024151769472496
0,xgb,10,0.6148582600195504,0.08649673404466096,0.23392672794858915,0.02914004745494092,0.52710827993829,0.4174522911738531
